"Study","Person","Rater","Criterion","Score"
"Study1","P001","R08","Global_Impression",4
"Study1","P001","R08","Linguistic_Realization",3
"Study1","P001","R08","Task_Fulfillment",3
"Study1","P001","R10","Global_Impression",4
"Study1","P001","R10","Linguistic_Realization",3
"Study1","P001","R10","Task_Fulfillment",2
"Study1","P002","R09","Global_Impression",3
"Study1","P002","R09","Linguistic_Realization",4
"Study1","P002","R09","Task_Fulfillment",4
"Study1","P002","R12","Global_Impression",4
"Study1","P002","R12","Linguistic_Realization",3
"Study1","P002","R12","Task_Fulfillment",4
"Study1","P003","R05","Global_Impression",4
"Study1","P003","R05","Linguistic_Realization",3
"Study1","P003","R05","Task_Fulfillment",3
"Study1","P003","R13","Global_Impression",4
"Study1","P003","R13","Linguistic_Realization",1
"Study1","P003","R13","Task_Fulfillment",1
"Study1","P004","R03","Global_Impression",2
"Study1","P004","R03","Linguistic_Realization",3
"Study1","P004","R03","Task_Fulfillment",1
"Study1","P004","R08","Global_Impression",3
"Study1","P004","R08","Linguistic_Realization",1
"Study1","P004","R08","Task_Fulfillment",2
"Study1","P005","R05","Global_Impression",3
"Study1","P005","R05","Linguistic_Realization",2
"Study1","P005","R05","Task_Fulfillment",1
"Study1","P005","R06","Global_Impression",2
"Study1","P005","R06","Linguistic_Realization",2
"Study1","P005","R06","Task_Fulfillment",1
"Study1","P006","R09","Global_Impression",4
"Study1","P006","R09","Linguistic_Realization",3
"Study1","P006","R09","Task_Fulfillment",3
"Study1","P006","R10","Global_Impression",4
"Study1","P006","R10","Linguistic_Realization",2
"Study1","P006","R10","Task_Fulfillment",4
"Study1","P007","R03","Global_Impression",4
"Study1","P007","R03","Linguistic_Realization",4
"Study1","P007","R03","Task_Fulfillment",4
"Study1","P007","R08","Global_Impression",4
"Study1","P007","R08","Linguistic_Realization",4
"Study1","P007","R08","Task_Fulfillment",4
"Study1","P008","R17","Global_Impression",3
"Study1","P008","R17","Linguistic_Realization",4
"Study1","P008","R17","Task_Fulfillment",4
"Study1","P008","R18","Global_Impression",4
"Study1","P008","R18","Linguistic_Realization",4
"Study1","P008","R18","Task_Fulfillment",3
"Study1","P009","R02","Global_Impression",3
"Study1","P009","R02","Linguistic_Realization",2
"Study1","P009","R02","Task_Fulfillment",2
"Study1","P009","R06","Global_Impression",4
"Study1","P009","R06","Linguistic_Realization",1
"Study1","P009","R06","Task_Fulfillment",1
"Study1","P010","R17","Global_Impression",3
"Study1","P010","R17","Linguistic_Realization",4
"Study1","P010","R17","Task_Fulfillment",4
"Study1","P010","R18","Global_Impression",4
"Study1","P010","R18","Linguistic_Realization",4
"Study1","P010","R18","Task_Fulfillment",4
"Study1","P011","R05","Global_Impression",4
"Study1","P011","R05","Linguistic_Realization",2
"Study1","P011","R05","Task_Fulfillment",2
"Study1","P011","R11","Global_Impression",3
"Study1","P011","R11","Linguistic_Realization",1
"Study1","P011","R11","Task_Fulfillment",3
"Study1","P012","R08","Global_Impression",4
"Study1","P012","R08","Linguistic_Realization",4
"Study1","P012","R08","Task_Fulfillment",3
"Study1","P012","R13","Global_Impression",1
"Study1","P012","R13","Linguistic_Realization",1
"Study1","P012","R13","Task_Fulfillment",3
"Study1","P013","R08","Global_Impression",4
"Study1","P013","R08","Linguistic_Realization",4
"Study1","P013","R08","Task_Fulfillment",4
"Study1","P013","R13","Global_Impression",2
"Study1","P013","R13","Linguistic_Realization",3
"Study1","P013","R13","Task_Fulfillment",2
"Study1","P014","R04","Global_Impression",4
"Study1","P014","R04","Linguistic_Realization",2
"Study1","P014","R04","Task_Fulfillment",4
"Study1","P014","R09","Global_Impression",4
"Study1","P014","R09","Linguistic_Realization",4
"Study1","P014","R09","Task_Fulfillment",4
"Study1","P015","R05","Global_Impression",4
"Study1","P015","R05","Linguistic_Realization",4
"Study1","P015","R05","Task_Fulfillment",4
"Study1","P015","R10","Global_Impression",3
"Study1","P015","R10","Linguistic_Realization",2
"Study1","P015","R10","Task_Fulfillment",2
"Study1","P016","R08","Global_Impression",4
"Study1","P016","R08","Linguistic_Realization",3
"Study1","P016","R08","Task_Fulfillment",4
"Study1","P016","R10","Global_Impression",3
"Study1","P016","R10","Linguistic_Realization",2
"Study1","P016","R10","Task_Fulfillment",2
"Study1","P017","R07","Global_Impression",3
"Study1","P017","R07","Linguistic_Realization",2
"Study1","P017","R07","Task_Fulfillment",2
"Study1","P017","R08","Global_Impression",3
"Study1","P017","R08","Linguistic_Realization",3
"Study1","P017","R08","Task_Fulfillment",2
"Study1","P018","R10","Global_Impression",4
"Study1","P018","R10","Linguistic_Realization",4
"Study1","P018","R10","Task_Fulfillment",4
"Study1","P018","R18","Global_Impression",4
"Study1","P018","R18","Linguistic_Realization",4
"Study1","P018","R18","Task_Fulfillment",4
"Study1","P019","R08","Global_Impression",4
"Study1","P019","R08","Linguistic_Realization",4
"Study1","P019","R08","Task_Fulfillment",4
"Study1","P019","R17","Global_Impression",4
"Study1","P019","R17","Linguistic_Realization",4
"Study1","P019","R17","Task_Fulfillment",2
"Study1","P020","R01","Global_Impression",3
"Study1","P020","R01","Linguistic_Realization",2
"Study1","P020","R01","Task_Fulfillment",2
"Study1","P020","R16","Global_Impression",3
"Study1","P020","R16","Linguistic_Realization",2
"Study1","P020","R16","Task_Fulfillment",2
"Study1","P021","R03","Global_Impression",4
"Study1","P021","R03","Linguistic_Realization",3
"Study1","P021","R03","Task_Fulfillment",2
"Study1","P021","R16","Global_Impression",1
"Study1","P021","R16","Linguistic_Realization",2
"Study1","P021","R16","Task_Fulfillment",1
"Study1","P022","R04","Global_Impression",4
"Study1","P022","R04","Linguistic_Realization",1
"Study1","P022","R04","Task_Fulfillment",4
"Study1","P022","R18","Global_Impression",3
"Study1","P022","R18","Linguistic_Realization",1
"Study1","P022","R18","Task_Fulfillment",3
"Study1","P023","R08","Global_Impression",4
"Study1","P023","R08","Linguistic_Realization",3
"Study1","P023","R08","Task_Fulfillment",4
"Study1","P023","R09","Global_Impression",4
"Study1","P023","R09","Linguistic_Realization",4
"Study1","P023","R09","Task_Fulfillment",3
"Study1","P024","R06","Global_Impression",2
"Study1","P024","R06","Linguistic_Realization",2
"Study1","P024","R06","Task_Fulfillment",2
"Study1","P024","R10","Global_Impression",4
"Study1","P024","R10","Linguistic_Realization",1
"Study1","P024","R10","Task_Fulfillment",1
"Study1","P025","R02","Global_Impression",4
"Study1","P025","R02","Linguistic_Realization",3
"Study1","P025","R02","Task_Fulfillment",3
"Study1","P025","R12","Global_Impression",3
"Study1","P025","R12","Linguistic_Realization",2
"Study1","P025","R12","Task_Fulfillment",3
"Study1","P026","R06","Global_Impression",2
"Study1","P026","R06","Linguistic_Realization",2
"Study1","P026","R06","Task_Fulfillment",1
"Study1","P026","R08","Global_Impression",4
